affiliation,"dc(user_uid)"
"Charities and non-governmental organisations",99
"Commercial and private bodies – SMEs",67
"Commercial and private bodies – non-SMEs",134
"Copernicus Services",81
"Intergovernmental and international public organisations",51
"National or regional public authorities in the European Union or Copernicus participating states",124
"National or regional public authorities outside European Union and Copernicus participating states",46
"Natural persons for non-commercial purposes",136
Other,771
"Research and education organisations",2207
"Union institutions and bodies",13
