country,"dc(user_uid)"
Afghanistan,11
Albania,1
Algeria,30
"American Samoa",1
Angola,1
Anguilla,1
Antarctica,4
Argentina,10
Armenia,1
Australia,40
Austria,15
Azerbaijan,2
Bangladesh,55
Barbados,1
Belarus,3
Belgium,21
Benin,8
Bhutan,2
"Bolivia, Plurinational State of",6
Brazil,136
Bulgaria,2
"Burkina Faso",14
Cambodia,1
Cameroon,24
Canada,57
"Cape Verde",1
Chad,2
Chile,62
China,410
Colombia,109
Congo,1
"Congo, the Democratic Republic of the",8
"Costa Rica",23
Croatia,4
Cuba,2
"Curaçao",1
Cyprus,2
"Czech Republic",6
"Côte d’Ivoire",9
Denmark,13
"Dominican Republic",3
Ecuador,18
Egypt,15
"El Salvador",1
Estonia,2
Ethiopia,135
Fiji,1
Finland,9
France,93
Germany,123
Ghana,13
Greece,29
Guatemala,2
Honduras,3
"Hong Kong",16
Hungary,2
Iceland,1
India,360
Indonesia,120
"Iran, Islamic Republic of",104
Iraq,7
Ireland,13
Israel,11
Italy,83
Japan,24
Jordan,1
Kazakhstan,11
Kenya,18
"Korea, Democratic People’s Republic of",1
"Korea, Republic of",72
Kuwait,6
"Lao People’s Democratic Republic",1
Lebanon,3
Lesotho,4
Liberia,1
Libya,1
Lithuania,2
Luxembourg,2
"Macedonia, the Former Yugoslav Republic of",3
Madagascar,3
Malawi,6
Malaysia,9
Mali,1
Malta,1
Mauritania,2
Mayotte,1
Mexico,35
Mongolia,1
Montenegro,2
Morocco,25
Mozambique,1
Myanmar,2
Nepal,38
Netherlands,33
"New Zealand",5
Nicaragua,3
Niger,1
Nigeria,38
Norway,20
Oman,5
Pakistan,203
Panama,3
"Papua New Guinea",2
Paraguay,1
Peru,36
Philippines,29
Poland,18
Portugal,25
Qatar,1
Romania,19
"Russian Federation",15
Rwanda,4
"Saint Kitts and Nevis",1
"Saudi Arabia",9
Senegal,41
Serbia,1
"Sierra Leone",2
Singapore,15
Slovakia,6
Slovenia,2
Somalia,1
"South Africa",27
Spain,62
"Sri Lanka",24
Sudan,2
Sweden,10
Switzerland,13
"Taiwan, Province of China",11
Tajikistan,1
"Tanzania, United Republic of",12
Thailand,36
Togo,5
Tunisia,7
Turkey,59
Uganda,12
Ukraine,7
"United Arab Emirates",6
"United Kingdom",139
"United States",189
Uruguay,1
Uzbekistan,2
"Venezuela, Bolivarian Republic of",1
"Viet Nam",10
Zambia,9
Zimbabwe,3
"Åland Islands",1
