variable,requests,users
precipitation,135887,1942
"daily_minimum_near_surface_air_temperature",81634,631
"near_surface_air_temperature",71442,1061
"daily_maximum_near_surface_air_temperature",69365,927
"near_surface_wind_speed",39081,387
"air_temperature",33543,501
"near_surface_specific_humidity",16680,237
"relative_humidity",16313,188
"sea_surface_temperature",14933,208
"surface_downwelling_shortwave_radiation",11197,176
"evaporation_including_sublimation_and_transpiration",6970,124
"sea_level_pressure",6885,157
"total_runoff",5735,107
"sea_surface_height_above_geoid",5508,69
"surface_temperature",5148,213
"specific_humidity",5077,79
"surface_downwelling_longwave_radiation",4743,66
"moisture_in_upper_portion_of_soil_column",4682,69
"near_surface_relative_humidity",4559,87
"surface_upward_latent_heat_flux",4456,30
"surface_upward_sensible_heat_flux",4311,25
"surface_air_pressure",4133,99
"eastward_wind",2754,110
"northward_wind",2582,99
"geopotential_height",1936,78
pr,1792,20
"surface_upwelling_shortwave_radiation",1510,41
"eastward_near_surface_wind",1503,74
"total_cloud_cover_percentage",1474,54
"northward_near_surface_wind",1472,74
"sea_surface_salinity",1412,52
tasmin,1341,9
tas,1249,22
"surface_upwelling_longwave_radiation",1192,39
"sea_ice_area_percentage_on_ocean_grid",1123,31
"snowfall_flux",1111,33
"sea_ice_thickness",1092,17
psl,1066,6
tasmax,1012,16
hfss,964,2
hfls,960,1
"toa_incident_shortwave_radiation",720,32
"toa_outgoing_longwave_radiation",683,26
"toa_outgoing_shortwave_radiation",680,18
"snow_depth",493,29
"surface_snow_amount",484,22
"surface_downward_eastward_wind_stress",472,12
"surface_downward_northward_wind_stress",470,10
sfcWind,439,4
rsds,254,6
"surface_temperature_of_sea_ice",196,8
"percentage_of_the_grid_cell_occupied_by_land_including_lakes",135,10
evspsbl,129,2
"sea_ice_mass_per_area",129,11
huss,104,4
rlds,85,1
"surface_altitude",80,16
va,75,4
zg,75,4
uas,74,6
ua,73,4
"sea_area_percentage",71,6
vas,68,5
"grid_cell_area_for_atmospheric_grid_variables",67,8
"capacity_of_soil_to_store_water",57,12
sithick,31,1
ps,18,3
clt,15,1
"grid_cell_area_for_ocean_variables",4,3
"land_ice_area_percentage",4,4
hurs,2,1
rlus,1,1
rsus,1,1
"sea_floor_depth_below_geoid",1,1
ta,1,1
