num_downloads,downloaded_data,country
161069,60392.82,United States of America
2083,55272.37,Saudi Arabia
25556,31087.88,Italy
7282,27662.67,Spain
1339,27374.64,Morocco
151459,14852.94,China
85465,11834.97,United Kingdom
96288,10259.46,France
1974,9492.45,Turkey
33504,5017.67,"Korea, South"
238,4749.93,Thailand
19045,4341.31,Japan
140,4257.96,Ukraine
21946,4000.88,Canada
46679,3734.22,Germany
13133,3730.77,Hong Kong
9662,2826.02,India
6830,2712.85,Taiwan
701,2641.73,Austria
3771,2320.64,New Zealand
24924,2300.22,Sweden
20630,1241.01,Netherlands
3710,854.36,Australia
1394,814.38,Czech Republic
4724,638.95,Cyprus
3242,467.55,Colombia
1634,351.27,Greece
1548,305.07,Belgium
1552,259.27,Tajikistan
1258,246.59,Philippines
216,226.92,Ireland
272,171.29,Israel
264,164.21,Argentina
2986,144.79,Norway
111,138.25,Hungary
1692,125.73,Iran
380,123.81,Switzerland
1537,114.55,Denmark
48,112.92,Algeria
782,101.97,Kenya
207,94.93,Tanzania
2236,87.44,Russian Federation
1556,82.88,Singapore
56,59.95,Chile
98,51.77,Malaysia
311,45.91,Brazil
9135,43.33,Vietnam
131,33.99,Finland
48,33.32,Indonesia
201,32.85,Ethiopia
45,32.47,Lithuania
36,27.19,Sri Lanka
42,26.85,Mexico
3018,24.17,Egypt
153,16.30,Palestine
110,9.46,Poland
284,9.23,Pakistan
194,8.26,Bahrain
330,5.89,Myanmar
163,4.64,Burundi
20,3.48,South Africa
2,2.24,Qatar
37,1.52,Nigeria
11,1.21,Jordan
23,0.82,Romania
7,0.47,Bangladesh
1,0.38,Estonia
1,0.05,Lesotho
8,0.04,Peru
4,0.03,Mongolia
6,0.02,Portugal
2,0.00,Ecuador
1,0.00,Fiji
1,0.00,Albania
3,0.00,Moldova
1,0.00,Costa Rica
2,0.00,Mozambique
1,0.00,Dominican Republic
3,0.00,Bolivia
1,0.00,El Salvador
1,0.00,Slovenia
