source_id_name,number_of_downloads,total_size_GB
EC-EARTH3,73864415,5454174.62
IPSL-CM6A-LR,3094786,3997267.50
MPI-ESM1-2-HR,6879709,3533108.18
CESM2,2984658,2656602.81
EC-EARTH3-VEG,26779639,2437758.11
CNRM-CM6-1,1924800,1728753.27
CNRM-ESM2-1,1143857,1560920.63
CNRM-CM6-1-HR,520794,1537251.00
GFDL-ESM4,772163,1406289.76
ACCESS-ESM1-5,3058890,1368168.78
CESM2-WACCM,1361773,1333882.29
MPI-ESM1-2-LR,16169025,1123978.53
HADGEM3-GC31-MM,4178267,1111985.99
UKESM1-0-LL,1271720,993500.18
AWI-CM-1-1-MR,9714238,989588.87
MRI-ESM2-0,685300,772560.77
CMCC-CM2-SR5,1384086,734612.62
MIROC6,3054949,646379.27
ACCESS-CM2,1133862,631645.35
CMCC-ESM2,706601,551038.63
CANESM5,1582233,545998.60
BCC-CSM2-MR,550016,472093.38
HADGEM3-GC31-LL,805818,452202.27
EC-EARTH3P-HR,1432501,410601.04
HADGEM3-GC31-HM,548874,396462.38
EC-EARTH3-AERCHEM,6117188,350561.07
EC-EARTH3-CC,10584802,344057.47
NORESM2-MM,883218,317332.88
MRI-AGCM3-2-S,174850,295545.98
GFDL-CM4,210774,280412.97
EC-EARTH3-VEG-LR,11182948,256534.53
HADGEM3-GC31-HH,348344,224322.33
CMCC-CM2-HR4,1215246,222501.74
INM-CM5-0,12530972,216770.88
CMCC-CM2-VHR4,1496420,214676.57
GISS-E2-1-G,916721,206483.66
TAIESM1,411570,173618.55
MPI-ESM-1-2-HAM,702319,172028.60
NORESM2-LM,1569059,171638.48
FGOALS-F3-H,113779,168269.53
E3SM-1-0,815250,162578.31
MIROC-ES2L,1839695,149926.76
CESM2-WACCM-FV2,365086,132211.65
AWI-ESM-1-1-LR,3229110,125386.77
CESM2-FV2,366193,123788.08
INM-CM4-8,12293067,122237.48
ECMWF-IFS-HR,521888,120118.05
CESM1-CAM5-SE-HR,35904,104738.84
IPSL-CM6A-ATM-HR,11477,96147.21
E3SM-2-0,234358,92488.95
CAMS-CSM1-0,90887,91837.51
HIRAM-SIT-HR,47494,90614.07
FGOALS-G3,1455644,85770.23
CESM1-1-CAM5-CMIP5,922052,80891.98
IPSL-CM6A-MR1,52514,79775.03
FGOALS-F3-L,287281,76702.84
IPSL-CM6A-ATM-ICO-VHR,13700,76293.90
KACE-1-0-G,46485,75653.98
SAM0-UNICON,549964,66780.57
EC-EARTH3P,1381955,61811.60
MPI-ESM1-2-XR,357020,58993.95
KIOST-ESM,69809,58024.33
IPSL-CM6A-LR-INCA,21879,56591.81
EC-EARTH3-LR,1478109,54818.03
NORCPM1,486000,50281.83
BCC-ESM1,119215,48978.06
ICON-ESM-LR,283866,47223.96
FIO-ESM-2-0,83166,46246.99
NESM3,58992,45964.77
GISS-E2-1-H,254580,45256.17
CIESM,45443,43377.53
E3SM-1-1,277578,40795.36
IITM-ESM,229947,34255.74
E3SM-1-1-ECA,247494,29637.49
IPSL-CM5A2-INCA,48737,24868.04
IPSL-CM6A-ATM-ICO-HR,3960,23958.07
MRI-AGCM3-2-H,11688,22957.22
ECMWF-IFS-LR,413968,21723.04
AWI-CM-1-1-HR,20160,20699.96
ACCESS-OM2-025,31398,20251.44
CANESM5-CANOE,40380,18458.99
EC-EARTH3-ESM-1,41481,17854.96
CAS-ESM2-0,24405,17794.97
NICAM16-8S,15283,17316.47
EC-EARTH3-HR,99736,16129.01
GISS-E2-2-G,104793,15420.06
BCC-CSM2-HR,29259,14830.41
ECMWF-IFS-MR,133625,14031.60
E3SM-2-0-NARRM,38201,13423.03
NICAM16-9S,2850,13266.93
CANESM5-1,43541,13251.10
MCM-UA-1-0,49396,11819.21
INM-CM5-H,43343,11189.80
GISS-E2-1-G-CC,32062,10163.83
MIROC-ES2H,17854,7481.86
HIRAM-SIT-LR,28639,7402.13
GFDL-CM4C192,1636,7274.25
NICAM16-7S,13090,6165.94
GISS-E2-2-H,45036,5544.99
HADGEM3-GC31-LM,150854,5488.80
ACCESS-OM2,14875,3505.92
IPSL-CM6A-ATM-ICO-MR,2674,2921.53
UKESM1-1-LL,4720,2812.40
CESM1-CAM5-SE-LR,3918,2257.14
CESM1-WACCM-SC,512070,2236.18
AWI-CM-1-1-LR,5132,1962.10
NORESM1-F,48636,1901.56
GFDL-ESM2M,1602,1593.91
TAIESM1-TIMCOM2,543,1428.01
HADGEM3-GC31-MH,3809,1422.78
TAIESM1-TIMCOM,497,1080.37
IPSL-CM6A-ATM-ICO-LR,2479,1011.85
GFDL-OM4P5B,924,922.18
HISTORICAL,3350,676.28
CMCC-ESM2-SR5,18995,587.37
GFDL-AM4,803,455.38
GISS-E3-G,561,446.50
PICONTROL,1180,305.93
IPSL-CM6A-ATM-LR-REPROBUS,655,261.00
MPI-ESM1-2-CR-CH4,3898,143.71
UKESM1-ICE-LL,151,78.85
AMIP,780,76.63
MPI-ESM1-2-CR,4890,61.47
RTE-RRTMGP-181204,44999,20.32
HIST-AER,157,18.58
HIST-SOL,156,18.54
LBLRTM-12-8,3744,1.68
EC-EARTH3P-VHR,95,0.89
ARTS-2-3,314,0.13
1PCTCO2,32,0.13
4AOP-V1-5,319,0.12
PCMDI-TEST-1-0,4,0.07
GFDL-GRTCODE,161,0.07
AVISO-1-0,1,0.05
RRTMG-SW-4-02,94,0.04
RRTMG-LW-4-91,68,0.03
GFDL-RFM-DISORT,33,0.01
HIST-PINTCF,10,0.00
ABRUPT-4XCO2,6,0.00
HIST-PIAER,6,0.00
6BANDS,7,0.00
PICLIM-BC,5,0.00
PICLIM-SO2,5,0.00
PICLIM-OC,4,0.00
2BANDS,6,0.00
PICLIM-GHG,2,0.00
