number_of_downloads,total_size_GB,host_name
8540929,3013511.11,aims3.llnl.gov
416470,41048.82,data.meteo.unican.es
7272413,4049718.96,esg1.umr-cnrm.fr
45252347,2981142.83,esg-dn1.nsc.liu.se
10666844,1079621.18,esg-dn2.nsc.liu.se
225446,1798678.63,esg-dn3.nsc.liu.se
6138463,3055817.16,esgf1.dkrz.de
9408822,531052.22,esgf2.dkrz.de
54970793,4572889.32,esgf3.dkrz.de
33207137,1351497.24,esgf.bsc.es
136434,53855.05,esgf.ceda.ac.uk
1606703,629032.17,esgf-data1.ceda.ac.uk
31161780,6428748.78,esgf-data1.llnl.gov
25062,1738.78,esgf-data2.ceda.ac.uk
11883,3100.71,esgf-data2.llnl.gov
2341015,874613.93,esgf-data3.ceda.ac.uk
22264874,4817743.39,esgf-data3.llnl.gov
21342305,4616472.93,esgf-data4.llnl.gov
625396,211004.62,esgf-data5.ceda.ac.uk
862,43.75,esgf-data6.ceda.ac.uk
8949600,2517613.09,esgf-data7.ceda.ac.uk
5021792,3218151.28,esgf-data.ucar.edu
5805415,1666096.89,esgf.nci.org.au
1568621,985819.41,esgf-node2.cmcc.it
668142,178850.52,esgf-node.cmcc.it
2704925,3495784.29,vesg.ipsl.upmc.fr
